#
# Copyright 2007 University of Padova, Department of Information Engineering.
# 
# These PER values for 802.11g PHY modes have been obtained using a 
# dedicated OFDM physical layer simulator by Matteo Trivellato.
# This simulator calculates the PER by averaging the performance of a
# complete OFDM system over different multipath channel realizations
# with fixed exponential delay profile.   
#
#

PER instproc loadPERTable80211gTrivellato {} {

    $self add Mode6Mb 128    -3.9991  1
    $self add Mode6Mb 128  -2.999  0.9994
    $self add Mode6Mb 128  -1.999  0.9244
    $self add Mode6Mb 128  -0.99983  0.5771
    $self add Mode6Mb 128  0.0018098  0.2472
    $self add Mode6Mb 128  1.0003  0.0955
    $self add Mode6Mb 128  2.0008  0.0383
    $self add Mode6Mb 128  2.9999  0.0176
    $self add Mode6Mb 128  4  0.0069
    $self add Mode6Mb 128  5.0013  0.0028
    $self add Mode6Mb 128  6.0001  0.001
    $self add Mode6Mb 128  7.0008  0.0008
    $self add Mode6Mb 128  8.0015  0.0002
    $self add Mode6Mb 128  9  0
    $self add Mode6Mb 128  10.0003  0
    $self add Mode6Mb 128  11.0003  0
    $self add Mode6Mb 128  12  0
    $self add Mode6Mb 128  13.0008  0
    $self add Mode6Mb 128  13.9998  0
    $self add Mode6Mb 128  15.0014  0
    $self add Mode6Mb 128  16.0009  0
    $self add Mode6Mb 128  17.0004  0
    $self add Mode6Mb 128  17.9996  0
    $self add Mode6Mb 128  19.0001  0
    $self add Mode6Mb 128  20.001  0
    $self add Mode6Mb 256  -3.9995  1
    $self add Mode6Mb 256  -3  1
    $self add Mode6Mb 256  -1.9999  0.9851
    $self add Mode6Mb 256  -0.99974  0.7254
    $self add Mode6Mb 256  0.00082885  0.3418
    $self add Mode6Mb 256  1.0013  0.1382
    $self add Mode6Mb 256  2.0004  0.0575
    $self add Mode6Mb 256  3.0005  0.0275
    $self add Mode6Mb 256  3.9993  0.0103
    $self add Mode6Mb 256  4.9993  0.0053
    $self add Mode6Mb 256  6  0.0012
    $self add Mode6Mb 256  6.9994  0.0008
    $self add Mode6Mb 256  7.9995  0.0004
    $self add Mode6Mb 256  8.9993  0
    $self add Mode6Mb 256  10.0015  0.0001
    $self add Mode6Mb 256  11.0011  0
    $self add Mode6Mb 256  11.9991  0
    $self add Mode6Mb 256  13.001  0
    $self add Mode6Mb 256  14.0002  0
    $self add Mode6Mb 256  15.0013  0
    $self add Mode6Mb 256  15.9988  0
    $self add Mode6Mb 256  17.0001  0
    $self add Mode6Mb 256  17.9995  0
    $self add Mode6Mb 256  19.002  0
    $self add Mode6Mb 256  20.0011  0
    $self add Mode6Mb 512  -3.9999  1
    $self add Mode6Mb 512  -3  1
    $self add Mode6Mb 512  -1.9996  0.9988
    $self add Mode6Mb 512  -0.99986  0.8642
    $self add Mode6Mb 512  -0.00015287  0.4682
    $self add Mode6Mb 512  1.0005  0.201
    $self add Mode6Mb 512  1.9995  0.0833
    $self add Mode6Mb 512  3.0012  0.0382
    $self add Mode6Mb 512  3.9997  0.0154
    $self add Mode6Mb 512  5.0001  0.0064
    $self add Mode6Mb 512  6.0001  0.0025
    $self add Mode6Mb 512  7.0008  0.001
    $self add Mode6Mb 512  7.9993  0.0006
    $self add Mode6Mb 512  9.0007  0.0001
    $self add Mode6Mb 512  9.9999  0.0001
    $self add Mode6Mb 512  11.0002  0
    $self add Mode6Mb 512  12.0001  0
